TruMedia,Trackman,School,ConferenceFull,Conference,ClassSchool,Ncaa Name
Troy University,TRO_TRJ,Troy,D1 Sun Belt Conference,Sun Belt,Troy,Troy University
Tulane University,TUL_GRE,Tulane,D1 American Athletic Conference,AAC,Tulane,Tulane University
UAB,UAB_BLA,UAB,D1 American Athletic Conference,AAC,UAB,University of Alabama at Birmingham
UC Davis,CAL_AGO,UC Davis,D1 Big West Conference,Big West,UC Davis,"University of California, Davis"
UC Irvine,CAL_ANT,UC Irvine,D1 Big West Conference,Big West,UC Irvine,"University of California, Irvine"
UC Riverside,CAL_HIG,UC Riverside,D1 Big West Conference,Big West,UC Riverside,"University of California, Riverside"
UC San Diego,CSD_TRI,UC San Diego,D1 Big West Conference,Big West,UCSD,"University of California, San Diego"
UC Santa Barbara,SAN_GAU,UC Santa Barbara,D1 Big West Conference,Big West,UCSB,"University of California, Santa Barbara"
UCLA,UCLA,UCLA,D1 Big Ten Conference,Big 10,UCLA,"University of California, Los Angeles"
University of Louisiana at Monroe,ULM_WAR,UL Monroe,D1 Sun Belt Conference,Sun Belt,ULM,University of Louisiana Monroe
University of Massachusetts,UMA_AMH,UMass,D1 Atlantic 10 Conference,A-10,UMass,"University of Massachusetts, Amherst"
UMass Lowell,UMASS_RIV,UMass Lowell,D1 America East Conference,AmEast,UM Lowell,University of Massachusetts Lowell
UMBC,UMBC_RET,UMBC,D1 America East Conference,AmEast,UMBC,"University of Maryland, Baltimore County"
UNC Asheville,NCA_BUL,UNC Asheville,D1 Big South Conference,Big South,Asheville,University of North Carolina Asheville
UNC Greensboro,UNC_SPA,UNC Greensboro,D1 Southern Conference,SoCon,UNCG,The University of North Carolina at Greensboro
UNC Wilmington,UNC_SEA,UNC Wilmington,D1 Coastal Athletic Association,CAA,UNCW,University of North Carolina Wilmington
University of St. Thomas (Minn.),THO_M,University of St. Thomas (Minn.),D1 The Summit League,Summit,St. Thomas,University of St. Thomas (Minnesota)
UNLV,UNL_REB,UNLV,D1 Mountain West Conference,MWC,UNLV,"University of Nevada, Las Vegas"
University of Southern California,SOU_TRO,USC,D1 Big Ten Conference,Big 10,USC,University of Southern California
University of Texas-Arlington,ARL_MAV,UT Arlington,D1 Western Athletic Conference,WAC,UT Arlington,University of Texas at Arlington
University of Tennessee at Martin,UTM_SKY,UT Martin,D1 Ohio Valley Conference,Ohio,UT Martin,University of Tennessee at Martin
University of Texas Rio Grande Valley,UTR_VAQ,UT Rio Grande Valley,D1 Southland Conference,SLC,UTRGV,The University of Texas Rio Grande Valley
University of Utah,UTA_UTE,Utah,D1 Big 12 Conference,Big 12,Utah,University of Utah
Utah Tech University,DIX_STE,Utah Tech,D1 Western Athletic Conference,WAC,Utah Tech,Utah Tech University
Utah Valley University,UTA_WOL,Utah Valley,D1 Western Athletic Conference,WAC,Utah Valley,Utah Valley University
UTSA,UTS_ROA,UTSA,D1 American Athletic Conference,AAC,UTSA,University of Texas at San Antonio
Valparaiso University,VAL_CRU,Valparaiso,D1 Missouri Valley Conference,MVC,Valparaiso,Valparaiso University
Vanderbilt University,VAN_COM,Vanderbilt,D1 Southeastern Conference,SEC,Vanderbilt,Vanderbilt University
Virginia Commonwealth University,VCU_RAM,VCU,D1 Atlantic 10 Conference,A-10,VCU,Virginia Commonwealth University
Villanova University,VIL_WIL,Villanova,D1 Big East Conference,Big East,Villanova,Villanova University
University of Virginia,VIR_CAV,Virginia,D1 Atlantic Coast Conference,ACC,Virginia,University of Virginia
Virginia Tech,VIR_TEC,Virginia Tech,D1 Atlantic Coast Conference,ACC,VA Tech,Virginia Polytechnic Institute and State University
Virginia Military Institute,VIR_KEY,VMI,D1 Southern Conference,SoCon,VMI,Virginia Military Institute
Wagner College,WAG_SEA,Wagner,D1 Northeast Conference,NEC,Wagner,Wagner College
Wake Forest University,WAK_DEA,Wake Forest,D1 Atlantic Coast Conference,ACC,Wake Forest,Wake Forest University
University of Washington,WAS_HUS,Washington,D1 Big Ten Conference,Big 10,Washington,University of Washington
Washington State University,WAS_COU,Washington State,D1 Pac-12 Conference,Pac-12,WA State,Washington State University
West Virginia University,WES_MOU,West Virginia,D1 Big 12 Conference,Big 12,WVU,West Virginia University
Western Carolina University,WCC,Western Carolina,D1 Southern Conference,SoCon,WCU,Western Carolina University
Western Illinois University,WIU_LEA,Western Illinois,D1 Ohio Valley Conference,Ohio,Western IL,Western Illinois University
Western Kentucky University,WES_HIL,Western Kentucky,D1 Conference USA,CUSA,WKU,Western Kentucky University
Western Michigan University,WMI_BRO,Western Michigan,D1 Mid-American Conference,MAC,Western MI,Western Michigan University
Wichita State University,WIC_SHO,Wichita State,D1 American Athletic Conference,AAC,Wichita St.,Wichita State University
College of William & Mary,WM_TRI,William & Mary,D1 Coastal Athletic Association,CAA,W&M,William & Mary
Winthrop University,WIN_EAG,Winthrop,D1 Big South Conference,Big South,Winthrop,Winthrop University
Wofford College,WOF_TER,Wofford,D1 Southern Conference,SoCon,Wofford,Wofford College
Wright State University,WRI_RAI,Wright State,D1 Horizon League,Horizon,Wright St.,Wright State University
Xavier University,XAV_MUS,Xavier,D1 Big East Conference,Big East,Xavier,Xavier University
Yale University,YAL_BUL,Yale,D1 The Ivy League,Ivy,Yale,Yale University
Youngstown State University,YSU_PEN,Youngstown State,D1 Horizon League,Horizon,Youngstown,Youngstown State University
